text,label
Let's plan for the upcoming project milestone.,0
Urgent! Update your banking details to avoid account suspension.,1
You have been selected for a $1000 gift card.,1
See you at the conference next week.,0
See you at the conference next week.,0
Important: Your payment is overdue.,0
Earn money working from home. No experience needed.,1
Free Netflix for 6 months! Sign up now.,1
Click here to get a free vacation trip to Hawaii.,1
Click here to get a free vacation trip to Hawaii.,1
Your invoice for the last purchase is attached.,0
Congratulations! You have won a free lottery. Claim now!,1
The report you requested is attached.,0
Urgent! Update your banking details to avoid account suspension.,1
Get your free credit score now.,1
"Dear user, your account has been compromised. Click the link to reset.",1
Check your email for an important announcement.,0
Let's catch up over coffee this weekend.,0
Urgent! Update your banking details to avoid account suspension.,1
Get a loan instantly with low interest rates.,1
Your bank statement for this month is ready to view.,0
Team meeting scheduled for next Monday.,0
Congratulations! You have won a free lottery. Claim now!,1
Your flight booking has been confirmed.,0
This is to inform you about your recent transaction.,0
This week's special deals just for you.,0
"Dear user, your account has been compromised. Click the link to reset.",1
Click here to get a free vacation trip to Hawaii.,1
Get your free credit score now.,1
"Hi John, please find the attached report for this week.",0
Free Netflix for 6 months! Sign up now.,1
Get your free credit score now.,1
This week's special deals just for you.,0
Meeting rescheduled to 3 PM today.,0
Huge discounts on your favorite brands. Don't miss out!,1
Earn money working from home. No experience needed.,1
Claim your free scratch card and win exciting prizes.,1
Congratulations! You have won a free lottery. Claim now!,1
Get your free credit score now.,1
Can we reschedule the project discussion?,0
"Hi John, please find the attached report for this week.",0
Meeting scheduled for tomorrow at 10 AM.,0
Reminder: Your appointment is scheduled for tomorrow.,0
Click here to get a free vacation trip to Hawaii.,1
Meeting scheduled for tomorrow at 10 AM.,0
New job opportunities available in your area.,0
"Dear user, your account has been compromised. Click the link to reset.",1
See you at the conference next week.,0
Reminder: Your subscription is expiring soon.,0
Earn money working from home. No experience needed.,1
See you at the conference next week.,0
"Dear user, your account has been compromised. Click the link to reset.",1
Limited-time offer! Get 50% off on all purchases.,1
Important: Your payment is overdue.,0
Huge discounts on your favorite brands. Don't miss out!,1
You have been selected for a $1000 gift card.,1
Limited-time offer! Get 50% off on all purchases.,1
Free Netflix for 6 months! Sign up now.,1
This is to inform you about your recent transaction.,0
Check your email for an important announcement.,0
Earn money working from home. No experience needed.,1
Congratulations! You have won a free lottery. Claim now!,1
Urgent! Update your banking details to avoid account suspension.,1
Your password has been changed successfully.,0
This is to inform you about your recent transaction.,0
You have an important message from the CEO.,0
Meeting scheduled for tomorrow at 10 AM.,0
Click here to get a free vacation trip to Hawaii.,1
Your flight booking has been confirmed.,0
Huge discounts on your favorite brands. Don't miss out!,1
This week's special deals just for you.,0
Get a loan instantly with low interest rates.,1
Let's plan for the upcoming project milestone.,0
Click here to get a free vacation trip to Hawaii.,1
Urgent! Update your banking details to avoid account suspension.,1
Claim your free scratch card and win exciting prizes.,1
Get your free credit score now.,1
Meeting rescheduled to 3 PM today.,0
Meeting scheduled for tomorrow at 10 AM.,0
"Dear user, your account has been compromised. Click the link to reset.",1
"Hi John, please find the attached report for this week.",0
Your invoice for the last purchase is attached.,0
Your invoice for the last purchase is attached.,0
Urgent! Update your banking details to avoid account suspension.,1
Earn money working from home. No experience needed.,1
Important: Your payment is overdue.,0
Click here to get a free vacation trip to Hawaii.,1
Win a brand new iPhone. Just enter your details.,1
Free Netflix for 6 months! Sign up now.,1
Click here to get a free vacation trip to Hawaii.,1
"Dear user, your account has been compromised. Click the link to reset.",1
Win a brand new iPhone. Just enter your details.,1
Urgent! Update your banking details to avoid account suspension.,1
Let's catch up over coffee this weekend.,0
Important: Your payment is overdue.,0
Exclusive deals for premium members.,0
You have been selected for a $1000 gift card.,1
You have been selected for a $1000 gift card.,1
Meeting scheduled for tomorrow at 10 AM.,0
Claim your free scratch card and win exciting prizes.,1
Free Netflix for 6 months! Sign up now.,1
Let's catch up over coffee this weekend.,0
Confirm your email address to continue using our service.,0
Exclusive deals for premium members.,0
Win a brand new iPhone. Just enter your details.,1
Reminder: Your subscription is expiring soon.,0
Free Netflix for 6 months! Sign up now.,1
Congratulations! You have won a free lottery. Claim now!,1
Get your free credit score now.,1
Meeting scheduled for tomorrow at 10 AM.,0
Meeting scheduled for tomorrow at 10 AM.,0
See you at the conference next week.,0
Meeting rescheduled to 3 PM today.,0
Limited-time offer! Get 50% off on all purchases.,1
Claim your free scratch card and win exciting prizes.,1
Confirm your email address to continue using our service.,0
This week's special deals just for you.,0
Urgent! Update your banking details to avoid account suspension.,1
Free Netflix for 6 months! Sign up now.,1
Your invoice for the last purchase is attached.,0
Reminder: Your subscription is expiring soon.,0
Win a brand new iPhone. Just enter your details.,1
Check your email for an important announcement.,0
Reminder: Your subscription is expiring soon.,0
Claim your free scratch card and win exciting prizes.,1
Important: Your payment is overdue.,0
The report you requested is attached.,0
Confirm your email address to continue using our service.,0
You have been selected for a $1000 gift card.,1
Free Netflix for 6 months! Sign up now.,1
Reminder: Your appointment is scheduled for tomorrow.,0
Click here to get a free vacation trip to Hawaii.,1
Congratulations! You have won a free lottery. Claim now!,1
Win a brand new iPhone. Just enter your details.,1
Claim your free scratch card and win exciting prizes.,1
"Dear user, your account has been compromised. Click the link to reset.",1
Can we reschedule the project discussion?,0
This is to inform you about your recent transaction.,0
Win a brand new iPhone. Just enter your details.,1
Meeting scheduled for tomorrow at 10 AM.,0
This week's special deals just for you.,0
New job opportunities available in your area.,0
See you at the conference next week.,0
Free Netflix for 6 months! Sign up now.,1
Limited-time offer! Get 50% off on all purchases.,1
You have been selected for a $1000 gift card.,1
Huge discounts on your favorite brands. Don't miss out!,1
Earn money working from home. No experience needed.,1
Reminder: Your subscription is expiring soon.,0
Win a brand new iPhone. Just enter your details.,1
"Dear user, your account has been compromised. Click the link to reset.",1
Click here to get a free vacation trip to Hawaii.,1
Your bank statement for this month is ready to view.,0
"Hi John, please find the attached report for this week.",0
Congratulations! You have won a free lottery. Claim now!,1
Meeting scheduled for tomorrow at 10 AM.,0
Check your email for an important announcement.,0
Your bank statement for this month is ready to view.,0
Meeting rescheduled to 3 PM today.,0
Important: Your payment is overdue.,0
Let's catch up over coffee this weekend.,0
Your password has been changed successfully.,0
Urgent! Update your banking details to avoid account suspension.,1
Important: Your payment is overdue.,0
Your invoice for the last purchase is attached.,0
New job opportunities available in your area.,0
Meeting rescheduled to 3 PM today.,0
See you at the conference next week.,0
Urgent! Update your banking details to avoid account suspension.,1
Claim your free scratch card and win exciting prizes.,1
Meeting rescheduled to 3 PM today.,0
Team meeting scheduled for next Monday.,0
Your invoice for the last purchase is attached.,0
"Hi John, please find the attached report for this week.",0
The report you requested is attached.,0
"Hi John, please find the attached report for this week.",0
Can we reschedule the project discussion?,0
Let's catch up over coffee this weekend.,0
Meeting scheduled for tomorrow at 10 AM.,0
Get a loan instantly with low interest rates.,1
Claim your free scratch card and win exciting prizes.,1
Win a brand new iPhone. Just enter your details.,1
Urgent! Update your banking details to avoid account suspension.,1
See you at the conference next week.,0
Limited-time offer! Get 50% off on all purchases.,1
Urgent! Update your banking details to avoid account suspension.,1
Meeting scheduled for tomorrow at 10 AM.,0
You have been selected for a $1000 gift card.,1
Get your free credit score now.,1
You have been selected for a $1000 gift card.,1
Your password has been changed successfully.,0
Get your free credit score now.,1
"Dear user, your account has been compromised. Click the link to reset.",1
Limited-time offer! Get 50% off on all purchases.,1
Check your email for an important announcement.,0
See you at the conference next week.,0
Team meeting scheduled for next Monday.,0
